formula_i,chaos,spatial,spectral,msm,total_iso_ints,min_iso_ints,max_iso_ints,formula,fdr,moldb_id,chem_mod,neutral_loss,adduct
1238633,0.9991949625378607,0.6657117973460099,0.9350077882569936,0.6219446231341538,"[51366486016.0, 23347810304.0, 392279200.0, 0]","[0, 0, 0, 0]","[81067568.0, 39222924.0, 5863073.5, 0]",C51H78NO8P,0.1,22.0,-CO2+CO,,+H
1238633,0.9991949625378607,0.6657117973460099,0.9350077882569936,0.6219446231341538,"[51366486016.0, 23347810304.0, 392279200.0, 0]","[0, 0, 0, 0]","[81067568.0, 39222924.0, 5863073.5, 0]",C51H80NO8P,0.1,22.0,,-H2O,+H
512779,0.9986149782251731,0.7383992289168638,0.9709985169685416,0.7159915169864253,"[17896214528.0, 2676910080.0, 0, 0]","[0, 0, 0, 0]","[16251398.0, 3341903.25, 0, 0]",C21H40O4,0.1,22.0,,-H2O,+H
530249,0.9985845197185403,0.6574785880964359,0.942599832111953,0.6188619781300925,"[15217324032.0, 957451520.0, 0, 0]","[0, 0, 0, 0]","[16489728.0, 2620030.25, 0, 0]",C22H24O8,0.1,22.0,,-H2O,+H
512779,0.9986149782251731,0.7383992289168638,0.9709985169685416,0.7159915169864253,"[17896214528.0, 2676910080.0, 0, 0]","[0, 0, 0, 0]","[16251398.0, 3341903.25, 0, 0]",C21H38O4,0.1,22.0,-CO2+CO,,+H
530249,0.9985845197185403,0.6574785880964359,0.942599832111953,0.6188619781300925,"[15217324032.0, 957451520.0, 0, 0]","[0, 0, 0, 0]","[16489728.0, 2620030.25, 0, 0]",C22H22O7,0.1,22.0,,,+H
1235146,0.9954614220877458,0.5399973654757891,0.9511029057622146,0.5112620812744932,"[12515856384.0, 8315560960.0, 768761664.0, 0]","[0, 0, 0, 0]","[22358120.0, 15775828.0, 5485911.5, 0]",C51H99O8P,0.1,22.0,,,+H
513183,0.9986868686868687,0.4999315686423811,0.9580991597048015,0.47835504691649794,"[11280588800.0, 0, 1699613312.0, 0]","[0, 0, 0, 0]","[8609586.0, 0, 2509606.75, 0]",C21H39N7O12,0.1,22.0,,,+H
1231118,0.9985491476242292,0.6188223237060736,0.9448001383229273,0.5838151567271824,"[8467935232.0, 4225394688.0, 6935871.0, 0]","[0, 0, 0, 0]","[8802718.0, 5189708.5, 3180315.5, 0]",C50H90O7P2,0.1,22.0,-CO2+CO,,+H
1121657,0.9979677591871037,0.7019266420827109,0.9511814281297598,0.6663027407990565,"[19555856384.0, 8479681536.0, 28480886.0, 0]","[0, 0, 0, 0]","[14336674.0, 6946998.5, 1812744.125, 0]",C45H76NO8P,0.1,22.0,,,+H
514796,0.9992174874542825,0.8078439456069285,0.9650823401665602,0.779025850622914,"[12210891776.0, 0, 1593032704.0, 0]","[0, 0, 0, 0]","[24093718.0, 0, 5871354.0, 0]",C21H41NO5,0.1,22.0,-CO2+CO,,+H
1120171,0.9969458987783595,0.6597195985826764,0.9348149843577037,0.6148322538544886,"[12886040576.0, 5109142528.0, 0, 0]","[0, 0, 0, 0]","[12913527.0, 6525985.5, 0, 0]",C45H74NO8P,0.1,22.0,,,+H
1243553,0.9953748006379586,0.5551409316061936,0.8831153535232064,0.4879859599873446,"[3664458496.0, 978969984.0, 140309920.0, 0]","[0, 0, 0, 0]","[6643396.0, 4115692.5, 2283471.5, 0]",C51H90O6,0.1,22.0,,,+H
1049157,0.9983600079035764,0.8495577894757428,0.9157469274125786,0.7767040544266478,"[14068464640.0, 4374987264.0, 186798784.0, 2586523648.0]","[0, 0, 0, 0]","[37404436.0, 15291382.0, 2708809.75, 3060533.5]",C42H63NO7,0.1,22.0,-CO2+CO,,+H
1120169,0.9990868686868687,0.7945957840742395,0.9388140114441639,0.7452964799672028,"[32659013632.0, 12518029312.0, 62408468.0, 0]","[0, 0, 0, 0]","[25309374.0, 10664803.0, 1902147.5, 0]",C45H76NO7P,0.1,22.0,,-H2O,+H
