id,name,formula,inchi,added by,comment
EMBL_dev1_169,DHB; 1*M+3*(M-H2O)-1*H+0*K+1*Na,C28H17NaO13,,Theodore,DHB matrix cluster
EMBL_dev1_170,DHB; 1*M+3*(M-H2O)-2*H+0*K+2*Na,C28H16Na2O13,,Theodore,DHB matrix cluster
EMBL_dev1_171,DHB; 1*M+3*(M-H2O)-3*H+0*K+3*Na,C28H15Na3O13,,Theodore,DHB matrix cluster
EMBL_dev1_172,DHB; 1*M+3*(M-H2O)-1*H+1*K+0*Na,C28H17KO13,,Theodore,DHB matrix cluster
EMBL_dev1_173,DHB; 1*M+3*(M-H2O)-2*H+1*K+1*Na,C28H16NaKO13,,Theodore,DHB matrix cluster
EMBL_dev1_174,DHB; 1*M+3*(M-H2O)-3*H+1*K+2*Na,C28H15Na2KO13,,Theodore,DHB matrix cluster
EMBL_dev1_175,DHB; 1*M+3*(M-H2O)-4*H+1*K+3*Na,C28H14Na3KO13,,Theodore,DHB matrix cluster
EMBL_dev1_176,DHB; 1*M+3*(M-H2O)-2*H+2*K+0*Na,C28H16K2O13,,Theodore,DHB matrix cluster
EMBL_dev1_177,DHB; 1*M+3*(M-H2O)-3*H+2*K+1*Na,C28H15NaK2O13,,Theodore,DHB matrix cluster
EMBL_dev1_178,DHB; 1*M+3*(M-H2O)-4*H+2*K+2*Na,C28H14Na2K2O13,,Theodore,DHB matrix cluster
EMBL_dev1_179,DHB; 1*M+3*(M-H2O)-5*H+2*K+3*Na,C28H13Na3K2O13,,Theodore,DHB matrix cluster
EMBL_dev1_180,DHB; 1*M+3*(M-H2O)-3*H+3*K+0*Na,C28H15K3O13,,Theodore,DHB matrix cluster
EMBL_dev1_181,DHB; 1*M+3*(M-H2O)-4*H+3*K+1*Na,C28H14NaK3O13,,Theodore,DHB matrix cluster
EMBL_dev1_182,DHB; 1*M+3*(M-H2O)-5*H+3*K+2*Na,C28H13Na2K3O13,,Theodore,DHB matrix cluster
