id	formula	name
LMFA01020193	C17H34O2	10-methyl-hexadecanoic acid
LMFA01020194	C17H34O2	11-methyl-hexadecanoic acid
LMFA01020195	C17H34O2	12-methyl-hexadecanoic acid
LMFA01020196	C17H34O2	13-methyl-hexadecanoic acid
LMFA01020197	C17H34O2	3-methyl-hexadecanoic acid
LMFA01020198	C17H34O2	4-methyl-hexadecanoic acid
LMFA01020199	C17H34O2	5-methyl-hexadecanoic acid
LMFA01020200	C17H34O2	7-methyl-hexadecanoic acid
LMFA01020201	C17H34O2	8-methyl-hexadecanoic acid
LMFA01020202	C17H34O2	9-methyl-hexadecanoic acid
LMFA01020203	C17H32O2	7-methyl-6E-hexadecenoic acid
LMFA01020204	C17H32O2	14-methyl-8E-hexadecenoic acid
LMFA01020205	C18H36O2	15-methyl-heptadecanoic acid
LMFA01020206	C18H34O2	2-methyl-16-heptadecenoic acid
LMFA01020207	C18H32O2	16-methyl-6Z,9Z-heptadecadienoic acid
LMFA01020208	C18H32O2	16-methyl-9Z,12Z-heptadecadienoic acid
LMFA01020209	C18H30O2	16-methyl-6Z,9Z,12Z-heptadecatrienoic acid
LMFA01020210	C19H38O2	11-methyl-octadecanoic acid
LMFA01020211	C19H38O2	12-methyl-octadecanoic acid
LMFA01020212	C19H38O2	13-methyl-octadecanoic acid
LMFA01020213	C19H38O2	14-methyl-octadecanoic acid
LMFA01020214	C19H38O2	3-methyl-octadecanoic acid
LMFA01020215	C19H38O2	4-methyl-octadecanoic acid
LMFA01020216	C19H38O2	5-methyl-octadecanoic acid
LMFA01020217	C19H38O2	7-methyl-octadecanoic acid
LMFA01020218	C19H38O2	8-methyl-octadecanoic acid
LMFA01020219	C19H38O2	9-methyl-octadecanoic acid
LMFA01020220	C20H40O2	17-methyl-nonadecanoic acid
LMFA01020221	C20H34O2	18-methyl-8Z,11Z,14Z-nonadecatrienoic acid
LMFA01020222	C20H32O2	18-methyl-5Z,8Z,11Z,14Z-nonadecatetraenoic acid
